,net_alan,brut_alan,kat_sayisi,isitma,bulundugu_kat,bina_yasi,esya,kullanim_durumu,kredi_durumu,fiyat,il,ilce,mahalle,oda_sayisi,toplam_oda_sayisi,lat,lng
0,100,110,1,3,2,3,33,2,0,2750000,İstanbul,Adalar,Heybeliada, 3 + 1 ,4,40.8741659,29.1293251
1,88,103,1,4,2,2,8,2,2,7500000,İstanbul,Adalar,Nizam, 2 + 1 ,3,40.8741659,29.1293251
2,100,112,1,4,2,1,8,2,2,7500000,İstanbul,Adalar,Nizam, 2 + 1 ,3,40.8741659,29.1293251
3,75,90,1,4,2,3,8,2,2,7500000,İstanbul,Adalar,Nizam, 1 + 1 ,2,40.8741659,29.1293251
4,140,160,1,2,2,1,38,1,0,7750000,İstanbul,Adalar,Nizam, 3 + 1 ,4,40.8741659,29.1293251
5,110,120,1,3,2,2,33,0,1,3150000,İstanbul,Adalar,Heybeliada, 3 + 1 ,4,40.8741659,29.1293251
6,100,250,1,3,3,3,33,2,1,4500000,İstanbul,Adalar,Kınalıada, 3 + 1 ,4,40.8741659,29.1293251
7,130,150,1,3,2,3,33,0,1,7500000,İstanbul,Adalar,Maden, 3 + 1 ,4,40.8741659,29.1293251
8,98,110,0,4,0,0,8,4,2,5500000,İstanbul,Adalar,Nizam, 1 + 1 ,2,40.8741659,29.1293251
9,100,110,1,4,2,1,8,4,2,9000000,İstanbul,Adalar,Nizam, 2 + 1 ,3,40.8741659,29.1293251
10,155,165,1,3,2,3,23,0,1,4750000,İstanbul,Adalar,Heybeliada, 3 + 1 ,4,40.8741659,29.1293251
11,70,75,1,4,2,2,28,1,0,2250000,İstanbul,Adalar,Heybeliada, 2 + 1 ,3,40.8741659,29.1293251
12,130,140,1,3,2,3,33,0,0,4500000,İstanbul,Adalar,Maden, 3 + 1 ,4,40.8741659,29.1293251
13,130,140,1,3,2,1,43,0,2,8900000,İstanbul,Adalar,Maden, 3 + 1 ,4,40.8741659,29.1293251
14,125,140,1,3,2,3,23,0,2,4900000,İstanbul,Adalar,Maden, 3 + 1 ,4,40.8741659,29.1293251
15,165,175,1,3,3,1,43,0,0,8800000,İstanbul,Adalar,Nizam, 4 + 1 ,5,40.8741659,29.1293251
16,130,140,1,3,2,0,28,0,0,6750000,İstanbul,Adalar,Nizam, 3 + 1 ,4,40.8741659,29.1293251
17,80,90,1,3,2,3,38,0,2,3500000,İstanbul,Adalar,Nizam, 2 + 1 ,3,40.8741659,29.1293251
18,115,120,1,4,0,4,13,0,0,6600000,İstanbul,Adalar,Maden, 3 + 1 ,4,40.8741659,29.1293251
19,90,120,1,3,2,0,23,1,3,5500000,İstanbul,Adalar,Nizam, 3 + 1 ,4,40.8741659,29.1293251
20,100,120,1,5,2,3,23,0,3,4000000,İstanbul,Adalar,Nizam, 3 + 1 ,4,40.8741659,29.1293251
21,85,95,1,3,3,0,28,0,0,4000000,İstanbul,Adalar,Maden, 3 + 1 ,4,40.8741659,29.1293251
22,125,140,1,2,2,0,38,0,0,4650000,İstanbul,Adalar,Maden, 3 + 1 ,4,40.8741659,29.1293251
23,160,170,1,3,2,3,18,0,0,5500000,İstanbul,Adalar,Heybeliada, 4 + 1 ,5,40.8741659,29.1293251
24,250,260,1,7,2,0,33,1,2,6000000,İstanbul,Adalar,Heybeliada, 4 + 1 ,5,40.8741659,29.1293251
25,75,80,1,3,2,2,18,0,1,5450000,İstanbul,Adalar,Heybeliada, 2 + 1 ,3,40.8741659,29.1293251
26,56,80,1,3,2,2,28,4,0,2800000,İstanbul,Adalar,Heybeliada, 2 + 1 ,3,40.8741659,29.1293251
27,152,198,1,4,2,4,33,0,0,4500000,İstanbul,Adalar,Heybeliada, 4 + 1 ,5,40.8741659,29.1293251
28,219,220,1,3,2,3,0,0,0,7200000,İstanbul,Adalar,Heybeliada, 4 + 1 ,5,40.8741659,29.1293251
29,109,110,0,3,2,3,33,1,2,3750000,İstanbul,Adalar,Heybeliada, 2 + 1 ,3,40.8741659,29.1293251
30,105,137,1,4,2,3,33,0,0,3900000,İstanbul,Adalar,Heybeliada, 3 + 1 ,4,40.8741659,29.1293251
31,70,75,0,4,2,0,28,0,1,3000000,İstanbul,Adalar,Heybeliada, 2 + 1 ,3,40.8741659,29.1293251
32,152,198,1,4,2,4,33,4,0,4500000,İstanbul,Adalar,Heybeliada, 4 + 1 ,5,40.8741659,29.1293251
33,85,100,1,5,2,4,8,0,0,1400000,İstanbul,Arnavutköy,Hadımköy, 2 + 1 ,3,41.0671774,29.0432713
34,95,100,1,4,2,3,0,0,0,1450000,İstanbul,Arnavutköy,Mustafa Kemal Paşa, 2 + 1 ,3,41.0671774,29.0432713
35,85,90,1,4,2,1,0,0,0,1400000,İstanbul,Arnavutköy,Haraççı, 2 + 1 ,3,41.0671774,29.0432713
36,75,82,1,10,2,0,8,0,2,1230000,İstanbul,Arnavutköy,Deliklikaya, 2 + 1 ,3,41.0671774,29.0432713
37,120,130,1,3,3,0,0,0,0,2500000,İstanbul,Arnavutköy,Hadımköy, 3 + 1 ,4,41.0671774,29.0432713
38,90,95,1,5,2,2,8,0,2,1300000,İstanbul,Arnavutköy,İslambey, 2 + 1 ,3,41.0671774,29.0432713
39,120,150,1,3,2,2,5,0,2,1450000,İstanbul,Arnavutköy,Mavigöl, 2 + 1 ,3,41.0671774,29.0432713
40,85,95,1,5,2,3,8,0,0,1175000,İstanbul,Arnavutköy,Hastane, 2 + 1 ,3,41.0671774,29.0432713
41,60,80,0,1,2,-1,8,0,0,680000,İstanbul,Arnavutköy,Bolluca, 1 + 1 ,2,41.0671774,29.0432713
42,90,100,1,4,2,1,8,0,0,1550000,İstanbul,Arnavutköy,İslambey, 2 + 1 ,3,41.0671774,29.0432713
43,64,84,1,15,2,7,8,0,1,1275000,İstanbul,Arnavutköy,Deliklikaya, 2 + 1 ,3,41.0671774,29.0432713
