,Net m²,Brüt m²,Binadaki Kat Sayısı,Isıtma Tipi,Bulunduğu Kat,Bina Yaşı,Mobilya Durumu,Kullanım Durumu,Krediye Uygun,Hayvan Dostu Patili Evler,Ada,Parsel,Listing No,Gross m²,Number of Rooms,Number of Bathrooms,Floor,Suitable for Bank Loan,Number of Floors of the Building,Heating Type,Age of the Building,Furnishing Status,Usage Status,Status of the Property,Maintenance Fee,Rental Income,From Whom,Title Deed Status,House Type,"Video Home Tour
                                                                ?",Unit Exchange,Pet Friendly Paws Houses,Layout,Parcelled,Fiyat,İl,İlçe,Mahalle,Oda
0,100,110m²,7,Kombi (Doğalgaz),3,26-30 arası,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,1350000,İstanbul,Bağcılar,Çınar, 2 + 1 
1,105,115m²,5,Kombi (Doğalgaz),3,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,927000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
2,150,170m²,10-20 arası,Klima,8,11-15 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,2300000,İstanbul,Beylikdüzü,Barış, 3 + 1 
3,100,110m²,5,Klima,2,0,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,2800000,İstanbul,Beylikdüzü,Dereağzı, 2 + 1 
4,100,120m²,5,Klima,2,3,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,2623000,İstanbul,Beylikdüzü,Dereağzı, 2 + 1 
5,145,150m²,6,Kombi (Doğalgaz),2,5,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,İstanbul,Beylikdüzü,Kavaklı, 3 + 1 
6,70,84m²,,,,,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,795000,İstanbul,Beylikdüzü,Büyükşehir, 2 + 1 
7,130,140m²,10-20 arası,Yerden Isıtma,5,11-15 arası,Eşyasız,,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,1930000,İstanbul,Beylikdüzü,Adnan Kahveci, 3 + 1 
8,70,80m²,5,Kombi (Doğalgaz),Yüksek Giriş,5,Eşyasız,Kiracılı,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,,,850000,İstanbul,Esenyurt,İncirtepe, 2 + 1 
9,130,150m²,3,Klima,2,4,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,3800000,İstanbul,Beylikdüzü,Sahil, 2 + 1 
